"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "HTML", "XML", "comment", "blank", "total"
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\pages\financiamento\financiamentoxavista\Conclusion.tsx", "TypeScript JSX", 70, 0, 0, 0, 0, 0, 5, 75
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\pages\financiamento\financiamentoxavista\DetailedTable.tsx", "TypeScript JSX", 110, 0, 0, 0, 0, 0, 5, 115
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\pages\financiamento\financiamentoxavista\index.tsx", "TypeScript JSX", 126, 0, 0, 0, 0, 2, 9, 137
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\pages\userConfig.tsx", "TypeScript JSX", 261, 0, 0, 0, 0, 0, 19, 280
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\propertyData\PropertyDataContext.tsx", "TypeScript JSX", 67, 0, 0, 0, 0, 0, 10, 77
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\propertyData\ProperyDataCard.tsx", "TypeScript JSX", 468, 0, 0, 0, 0, 2, 42, 512
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\propertyData\propertyDataInivitalValues\financiamentoxavista.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 2, 22
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\propertyData\propertyDataInivitalValues\financingPlanning.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 2, 22
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\propertyData\propertyDataInivitalValues\index.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\reports\financiamentoxavista\FinaceOrCashReportConfig.tsx", "TypeScript JSX", 51, 0, 0, 0, 0, 0, 4, 55
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\reports\financiamentoxavista\financingOrCashReport.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 0, 5, 48
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\reports\financiamentoxavista\financingOrCashReportPreview.tsx", "TypeScript JSX", 709, 0, 0, 0, 0, 0, 43, 752
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\reports\financiamentoxavista\assets\entenda-o-financimento.svg", "XML", 0, 0, 0, 0, 70, 1, 1, 72
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\reports\financiamentoxavista\assets\lucro-anual-total.svg", "XML", 0, 0, 0, 0, 33, 1, 1, 35
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\routes\auxiliar.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\routes\financiamento.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 0, 4, 32
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\routes\relatorios.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 7, 2, 19
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\scrapping\Scrap.tsx", "TypeScript JSX", 134, 0, 0, 0, 0, 0, 8, 142
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\scrapping\index.ts", "TypeScript", 0, 0, 17, 0, 0, 7, 6, 30
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\service\api.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 5, 22
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\service\loginService.ts", "TypeScript", 0, 0, 46, 0, 0, 2, 10, 58
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\theme.tsx", "TypeScript JSX", 41, 0, 0, 0, 0, 1, 4, 46
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"Total", "-", 5389, 160, 611, 29, 104, 39, 685, 7017
